"categoria","juris_ok","juris_abrev","anio","anio_fecha","id","value_proy","share_proy","value_exec","share_exec","rel_exec_proy"
"Básico","Ministerio de Educación","Educación",2005,"01/01/2005","42",4773187473,0.0616261324111361,5344849166,0.0638877842598071,1.11976518756778
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2005,"01/01/2005","43",577343273,0.0074540196021705,627341249,0.00749870410344708,1.08660008410629
"Interior","Ministerio del Interior","Interior",2005,"01/01/2005","44",3905459627,0.0504229874609511,4237228405,0.05064822706695,1.08494999556681
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2005,"01/01/2005","45",7183120244,0.0927405264900761,8169970073,0.0976568784678225,1.13738456206748
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2005,"01/01/2005","46",738234242,0.00953126635089672,791704880,0.00946336725321099,1.0724304495212
"Básico","Ministerio de Salud","Salud",2005,"01/01/2005","47",1711368266,0.0220952996213338,1833784898,0.0219195061083444,1.07153143740717
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2005,"01/01/2005","48",29050197000,0.375064104860393,31654186518,0.378367242250009,1.08963758552136
"Institucional","Ministerio Público","Ministerio Público",2005,"01/01/2005","49",194086000,0.00250582437895118,252357831,0.00301647102892274,1.30023716805952
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2005,"01/01/2005","50",7586719000,0.0979513485076311,7491378298,0.0895455691351917,0.987433210324516
"Institucional","Poder Judicial de la Nación","Poder Judicial",2005,"01/01/2005","51",884290933,0.0114169892624758,1095460933,0.0130942089437723,1.23880149860137
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2005,"01/01/2005","52",476377040,0.00615045495504364,560161591,0.0066956955687528,1.17587865065873
"Ejecutivo","Presidencia de la Nación","Presidencia",2005,"01/01/2005","53",697500475,0.00900535687574078,777127487,0.00928912148684235,1.11416051293729
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2005,"01/01/2005","54",9918443000,0.128055997190099,10913062684,0.13044547614258,1.10027982053232
"TOTAL","TOTAL","TOTAL",2005,"01/01/2005","55",77453951534,1,83659955153,1,1.08012507426785
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2006,"01/01/2006","56",311833969,0.00332791829609415,374740651,0.00354425235557657,1.20173133222699
"Exterior","Ministerio de Defensa","Defensa",2006,"01/01/2006","57",5713924487,0.0609794818177351,6090473385,0.0576029704377138,1.06590022301777
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2006,"01/01/2006","58",3559303905,0.0379851900830241,4155129603,0.0392987199116508,1.16739950111116
"Productivo","Ministerio de Economía","Economía",2006,"01/01/2006","59",1727124130,0.0184320137100031,1739258676,0.0164497009943284,1.0070258679091
"Básico","Ministerio de Educación","Educación",2006,"01/01/2006","60",6054805761,0.0646173953913538,7088042607,0.0670378610893933,1.17064739758544
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2006,"01/01/2006","61",640139923,0.00683162699895597,810307084,0.00766378769835509,1.26582807115437
"Interior","Ministerio del Interior","Interior",2006,"01/01/2006","62",4441310147,0.0473980347433858,4902514829,0.0463674001861418,1.10384428619819
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2006,"01/01/2006","63",10578858420,0.112898465169161,13806707016,0.130582187263728,1.3051225820262
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2006,"01/01/2006","64",842887084,0.00899536172207411,949265852,0.0089780431427478,1.12620761430484
"Básico","Ministerio de Salud","Salud",2006,"01/01/2006","65",2110819511,0.0225268430278338,2160343505,0.0204322710547108,1.02346197471736
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2006,"01/01/2006","66",35058485345,0.374147098813902,37453887149,0.354234394905137,1.06832587832668
"Institucional","Ministerio Público","Ministerio Público",2006,"01/01/2006","67",290978650,0.00310534858089106,302346650,0.00285955853362485,1.03906815843705
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2006,"01/01/2006","68",9209550000,0.0982850907554394,10367812863,0.0980575367625776,1.12576758506116
"Institucional","Poder Judicial de la Nación","Poder Judicial",2006,"01/01/2006","69",1216666875,0.0129843710309963,1337164887,0.0126467459238737,1.099039444959
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2006,"01/01/2006","70",594680531,0.00634648055114831,642066465,0.00607258800170299,1.07968300882546
"Ejecutivo","Presidencia de la Nación","Presidencia",2006,"01/01/2006","71",845599576,0.00902430966441586,983428328,0.00930114776380298,1.16299529459556
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2006,"01/01/2006","72",10505443000,0.112114969643587,12568443000,0.118870833974934,1.19637439373095
"TOTAL","TOTAL","TOTAL",2006,"01/01/2006","73",93702411314,1,105731932550,1,1.12838006052682
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2007,"01/01/2007","74",624857600,0.00515121012837354,706889551,0.00507391189045658,1.13128103267048
"Exterior","Ministerio de Defensa","Defensa",2007,"01/01/2007","75",6488279693,0.0534881740580605,7489193104,0.0537559310171654,1.15426483726955
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2007,"01/01/2007","76",5456457880,0.0449820264593079,6032249080,0.0432982780547675,1.10552472183658
"Productivo","Ministerio de Economía","Economía",2007,"01/01/2007","77",1952777193,0.0160983328922277,3024936262,0.021712387806444,1.54904321539769
"Básico","Ministerio de Educación","Educación",2007,"01/01/2007","78",8040563251,0.0662849117244942,8814380994,0.0632678647876507,1.09623924578962
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2007,"01/01/2007","79",812836777,0.00670087558892923,864836461,0.0062076232369833,1.06397309456385
"Interior","Ministerio del Interior","Interior",2007,"01/01/2007","80",5421108487,0.0446906126215736,6082771064,0.0436609147566178,1.12205300421246
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2007,"01/01/2007","81",15009465360,0.123735247813108,22640555384,0.162509380718542,1.50841851065107
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2007,"01/01/2007","82",1054529518,0.00869334570595039,1127105438,0.00809013752654334,1.06882303317374
"Básico","Ministerio de Salud","Salud",2007,"01/01/2007","83",2470872869,0.020369417526035,2616936120,0.0187838443460502,1.05911402922932
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2007,"01/01/2007","84",45389127678,0.374179547808898,54960914151,0.394498455135776,1.21088280305593
"Institucional","Ministerio Público","Ministerio Público",2007,"01/01/2007","85",383057815,0.0031578575604756,410340260,0.00294534035961022,1.07122278656552
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2007,"01/01/2007","86",10962403659,0.0903720219767831,4312203683,0.0309521360307169,0.393362971948194
"Institucional","Poder Judicial de la Nación","Poder Judicial",2007,"01/01/2007","87",1565098881,0.0129023848116968,1723030105,0.0123675656614341,1.10090814447397
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2007,"01/01/2007","88",697841861,0.00575287883573192,784793861,0.00563309345463112,1.12460129559353
"Ejecutivo","Presidencia de la Nación","Presidencia",2007,"01/01/2007","89",996347937,0.00821370754626091,1089278647,0.00781862438228876,1.09327134282007
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2007,"01/01/2007","90",13977443000,0.115227446942093,16638038000,0.119424510834322,1.19034919333958
"TOTAL","TOTAL","TOTAL",2007,"01/01/2007","91",121303069459,1,139318452165,1,1.14851547274399
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2008,"01/01/2008","92",872276301,0.00540154443448102,1013461074,0.00501239908861603,1.16185785723875
"Productivo","Ministerio de Ciencia, Tecnología e Innovación Productiva","Ciencia",2008,"01/01/2008","93",NA,NA,1244953129,0.00615731781837462,NA
"Exterior","Ministerio de Defensa","Defensa",2008,"01/01/2008","94",8224876573,0.0509322977435581,9491644375,0.0469439930504104,1.15401663365484
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2008,"01/01/2008","95",7510322002,0.0465074403197198,8541256441,0.0422435425482402,1.13726900640551
"Productivo","Ministerio de Economía","Economía",2008,"01/01/2008","96",3805858211,0.0235676610891334,6841362760,0.0338361692845005,1.79758739834988
"Básico","Ministerio de Educación","Educación",2008,"01/01/2008","97",10442284472,0.0646635286414817,11554388702,0.0571459613844233,1.10650008941836
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2008,"01/01/2008","98",1107083280,0.00685557950242993,8484340641,0.0419620470755805,7.66368781307943
"Interior","Ministerio del Interior","Interior",2008,"01/01/2008","99",6975772479,0.0431972586747468,654617165,0.00323762063034935,0.0938415303782731
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2008,"01/01/2008","100",23235933885,0.143887813084688,35131874786,0.173756034322754,1.51196310679294
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2008,"01/01/2008","101",1335097563,0.00826755100722589,1404553283,0.00694667193070886,1.05202295467002
"Básico","Ministerio de Salud","Salud",2008,"01/01/2008","102",3538973887,0.0219149880389775,4094968420,0.0202529889927666,1.15710614171028
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2008,"01/01/2008","103",63254660794,0.391702560960458,73153649634,0.361805002837631,1.15649422059566
"Institucional","Ministerio Público","Ministerio Público",2008,"01/01/2008","104",524694369,0.00324915390390216,560974590,0.002774481029207,1.06914543616915
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2008,"01/01/2008","105",7417130338,0.0459303537779416,14274879361,0.0706010266549026,1.92458251513606
"Institucional","Poder Judicial de la Nación","Poder Judicial",2008,"01/01/2008","106",1892359145,0.0117183763860094,2209342145,0.0109270151939146,1.16750678687898
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2008,"01/01/2008","107",873668449,0.00541016526858227,1106426970,0.00547219195519709,1.26641516157121
